GPU,CPU,内存,存储,实例价格(元/小时),单卡价格(元/小时),基础价格(元/小时),存储价格(元/小时),网络价格(元/小时)
P40 24GB ×1,8核,64 GB,200 GB,0.45,--,0.4,0.05,--
RTX 2080TI 11GB ×1,8核,14 GB,200 GB,0.7,--,0.7,--,--
RTX 2080TI 11GB ×1,12核,28 GB,200 GB,0.87,--,0.87,--,--
TESLA T4 16GB ×1,4核,32 GB,50 GB,1.2,--,1.2,--,--
TESLA V100 32GB ×1,8核,14 GB,200 GB,1.2,--,1.2,--,--
RTX 4090 24GB ×1,2核,4 GB,128 GB,1.24,1.2,0.04,--,--
RTX 4090 24GB ×1,6核,12 GB,128 GB,1.32,1.2,0.12,--,--
TESLA V100 32GB ×1,12核,28 GB,200 GB,1.38,--,1.38,--,--
RTX 4090 24GB ×1,12核,24 GB,128 GB,1.44,1.2,0.24,--,--
TESLA V100S 32GB ×1,10核,64 GB,200 GB,1.46,--,1.41,0.05,--
RTX 4090 24GB ×1,8核,14 GB,200 GB,1.5,--,1.5,--,--
RTX 4090 24GB ×1,12核,28 GB,200 GB,1.68,--,1.68,--,--
RTX 4090 24GB ×1,16核,64 GB,50 GB,1.8,--,1.8,--,--
RTX 4090 24GB ×1,16核,64 GB,200 GB,2.03,--,1.98,0.05,--
A800 SXM4 40GB ×1,8核,14 GB,200 GB,2.1,--,2.1,--,--
RTX 4090 24GB ×1,16核,94 GB,200 GB,2.23,--,2.18,0.05,--
A800 SXM4 40GB ×1,12核,28 GB,200 GB,2.28,--,2.28,--,--
A100 SXM4 40GB ×1,8核,14 GB,200 GB,2.5,--,2.5,--,--
A100 SXM4 40GB ×1,12核,28 GB,200 GB,2.68,--,2.68,--,--
RTX 4090 48GB ×1,16核,96 GB,200 GB,3.35,--,3.3,0.05,--
RTX 3090 24GB ×1,10核,32 GB,20 GB,3.64,--,3.3,0.02,0.32
RTX 3090 24GB ×1,10核,32 GB,50 GB,3.67,--,3.3,0.05,0.32
RTX 4090 24GB ×1,10核,32 GB,20 GB,3.94,--,3.6,0.02,0.32
RTX 4090 24GB ×1,10核,32 GB,50 GB,3.97,--,3.6,0.05,0.32
RTX 3090 24GB ×1,10核,60 GB,20 GB,4.08,--,3.74,0.02,0.32
RTX 3090 24GB ×1,10核,60 GB,50 GB,4.11,--,3.74,0.05,0.32
RTX 4090 24GB ×1,10核,54 GB,20 GB,4.29,--,3.95,0.02,0.32
RTX 4090 24GB ×1,10核,54 GB,50 GB,4.32,--,3.95,0.05,0.32
A100 SXM4 80GB ×1,8核,14 GB,200 GB,6,--,6,--,--
A100 SXM4 80GB ×1,12核,28 GB,200 GB,6.18,--,6.18,--,--
A100 SXM4 80GB ×1,24核,48 GB,128 GB,6.96,6,0.96,--,--
